iter	Passed	Remaining
0	3	12053
1	6	13201
2	10	13351
3	12	12415
4	14	11839
5	18	12028
6	20	11527
7	23	11592
8	26	11911
9	29	11727
10	33	12115
11	36	12075
12	39	12251
13	43	12355
14	46	12334
15	49	12330
16	52	12190
17	55	12276
18	58	12219
19	62	12369
20	65	12365
21	68	12455
22	72	12546
23	76	12596
24	80	12738
25	83	12770
26	87	12808
27	90	12846
28	93	12837
29	96	12818
30	100	12818
31	103	12857
32	107	12909
33	110	12913
34	114	12926
35	118	13016
36	121	13056
37	126	13180
38	130	13215
39	133	13237
40	137	13315
41	142	13387
42	145	13379
43	149	13421
44	152	13389
45	160	13765
46	162	13695
47	166	13682
48	169	13641
49	172	13615
50	175	13583
51	178	13563
52	181	13525
53	185	13526
54	188	13503
55	191	13469
56	194	13430
57	200	13660
58	203	13601
59	206	13539
60	208	13475
61	211	13423
62	214	13414
63	218	13426
64	221	13412
65	224	13394
66	228	13390
67	231	13403
68	235	13388
69	238	13386
70	241	13343
71	244	13314
72	246	13276
73	249	13245
74	252	13226
75	256	13219
76	258	13191
77	262	13190
78	265	13172
79	268	13151
80	271	13125
81	275	13140
82	278	13120
83	280	13096
84	284	13093
85	287	13076
86	289	13040
87	292	13000
88	295	12971
89	298	12966
90	301	12939
91	304	12921
92	306	12886
93	309	12860
94	312	12837
95	315	12819
96	318	12805
97	321	12786
98	323	12764
99	327	12765
100	330	12754
101	333	12740
102	337	12762
103	341	12786
104	344	12768
105	349	12828
106	355	12922
107	361	13020
108	370	13211
109	379	13407
110	381	13375
111	384	13356
112	387	13324
113	390	13297
114	392	13264
115	395	13258
116	398	13223
117	402	13237
118	405	13209
119	407	13178
120	410	13149
121	413	13155
122	416	13130
123	419	13102
124	421	13080
125	426	13115
126	429	13107
127	432	13087
128	435	13061
129	438	13049
130	441	13033
131	444	13021
132	447	13005
133	450	12995
134	453	12974
135	456	12972
136	459	12952
137	462	12956
138	466	12952
139	469	12949
140	472	12942
141	475	12919
142	478	12895
143	481	12888
144	484	12878
145	487	12858
146	489	12834
147	494	12863
148	497	12854
149	500	12846
150	504	12853
151	507	12843
152	510	12843
153	514	12837
154	518	12851
155	521	12844
156	524	12841
157	528	12850
158	531	12845
159	536	12869
160	541	12905
161	545	12912
162	548	12922
163	552	12933
164	556	12931
165	560	12954
166	563	12938
167	566	12920
168	569	12905
169	571	12883
170	574	12865
171	577	12855
172	580	12842
173	583	12825
174	585	12808
175	589	12801
176	592	12787
177	599	12874
178	602	12867
179	605	12858
180	608	12848
181	612	12840
182	615	12840
183	619	12845
184	622	12840
185	626	12856
186	632	12890
187	635	12882
188	639	12894
189	643	12895
190	646	12889
191	650	12895
192	653	12898
193	657	12895
194	661	12898
195	664	12899
196	668	12901
197	672	12906
198	675	12911
199	679	12916
200	684	12929
201	687	12934
202	694	12983
203	697	12980
204	701	12991
205	706	13007
206	709	13005
207	713	13000
208	717	13021
209	720	13011
210	724	13001
211	726	12989
212	730	12981
213	732	12967
214	735	12954
215	738	12943
216	741	12934
217	744	12919
218	747	12910
219	750	12896
220	754	12895
221	757	12885
222	760	12877
223	763	12872
224	766	12864
225	772	12901
226	777	12915
227	780	12919
228	784	12918
229	788	12920
230	791	12917
231	795	12914
232	799	12922
233	802	12914
234	805	12911
235	809	12914
236	812	12898
237	817	12918
238	820	12911
239	823	12907
240	827	12905
241	831	12916
242	835	12911
243	838	12903
244	843	12923
245	846	12922
246	850	12916
247	853	12909
248	856	12902
249	859	12890
250	862	12880
251	865	12869
252	868	12857
253	871	12849
254	873	12834
255	876	12826
256	879	12815
257	882	12803
258	885	12789
259	888	12787
260	893	12793
261	895	12780
262	898	12771
263	901	12761
264	904	12749
265	908	12757
266	911	12750
267	914	12739
268	917	12731
269	920	12719
270	923	12709
271	926	12697
272	929	12686
273	932	12674
274	934	12661
275	937	12652
276	940	12641
277	943	12634
278	950	12672
279	953	12663
280	956	12660
281	959	12654
282	962	12647
283	966	12641
284	970	12647
285	973	12638
286	975	12625
287	978	12617
288	981	12607
289	987	12633
290	993	12664
291	996	12656
292	1000	12656
293	1004	12656
294	1006	12646
295	1010	12647
296	1015	12665
297	1019	12662
298	1022	12661
299	1026	12665
300	1029	12656
301	1033	12651
302	1036	12640
303	1039	12635
304	1042	12633
305	1046	12633
306	1050	12639
