iter	Logloss
0	0.692240448
1	0.6914089966
2	0.6901301575
3	0.6893026733
4	0.688009491
5	0.6868383026
6	0.68483078
7	0.6838896942
8	0.6826643372
9	0.6820285034
10	0.6806452942
11	0.6795832825
12	0.6784308624
13	0.6773568726
14	0.6760247803
15	0.6747299194
16	0.6734486389
17	0.6719457245
18	0.6710131836
19	0.6702053833
20	0.6691123962
21	0.6675965118
22	0.666987915
23	0.6657526398
24	0.6644334412
25	0.663293457
26	0.6622601318
27	0.6603851318
28	0.6593713379
29	0.6581370544
30	0.6571920776
31	0.6559015656
32	0.6547583008
33	0.6539712524
