iter	RMSE
0	0.2332328819
1	0.2321170599
2	0.2310076132
3	0.2299020564
4	0.2288033322
5	0.2277103908
6	0.2266208132
7	0.225540414
8	0.2244619253
9	0.2233938643
10	0.2223286214
11	0.2212642422
12	0.2202054307
13	0.2191598472
14	0.2181136268
15	0.2170752751
16	0.2160438806
17	0.2150148247
18	0.2139902884
19	0.2129671068
20	0.2119499409
21	0.21094092
22	0.2099366294
23	0.2089346646
24	0.2079373552
25	0.2069492249
26	0.205964037
27	0.2049814561
28	0.2040049983
29	0.2030303006
30	0.2020688039
31	0.2011089507
32	0.2001487609
33	0.1991900544
34	0.1982403509
35	0.1972989264
36	0.1963587502
37	0.1954260878
38	0.1944981608
39	0.1935709265
40	0.1926499329
41	0.1917376636
42	0.190826099
43	0.1899173682
44	0.1890161552
45	0.18811835
46	0.1872264719
47	0.1863381062
48	0.1854514185
49	0.1845750032
50	0.1836956242
51	0.1828224446
52	0.1819576073
53	0.1810964636
54	0.1802368038
55	0.1793787426
56	0.1785253494
57	0.177678369
58	0.1768325947
59	0.1759870691
60	0.175151159
61	0.1743154379
62	0.1734902746
63	0.1726677776
64	0.1718467758
65	0.1710339535
66	0.1702206095
67	0.1694161041
68	0.1686132202
69	0.1678146124
70	0.1670182658
71	0.1662242334
72	0.1654334548
73	0.164651819
74	0.1638710924
75	0.163097025
76	0.1623263713
77	0.1615572651
78	0.1607945373
79	0.1600288526
80	0.1592691662
81	0.1585109174
82	0.1577629966
83	0.1570171525
84	0.1562754541
85	0.1555333076
86	0.154795297
87	0.154060664
88	0.153330993
89	0.1526045341
90	0.1518817172
91	0.1511641614
92	0.1504529953
93	0.1497392137
94	0.149029597
95	0.1483289687
96	0.1476227418
97	0.1469223168
98	0.1462265784
99	0.1455330541
100	0.1448445532
101	0.1441545563
102	0.1434716605
103	0.1427923991
104	0.1421160488
105	0.1414447404
106	0.1407751638
107	0.1401055077
108	0.1394456069
109	0.1387833156
110	0.1381306658
111	0.1374771131
112	0.1368245829
113	0.1361767138
114	0.1355354973
115	0.1348911524
116	0.1342497782
117	0.1336141448
118	0.1329812613
119	0.1323511116
120	0.1317263492
121	0.1311043583
122	0.1304869852
123	0.1298708557
124	0.1292608258
125	0.1286521993
126	0.1280459248
127	0.1274412498
128	0.1268417095
129	0.1262437959
130	0.125648478
131	0.1250555099
132	0.1244675407
133	0.1238817492
134	0.1232970288
135	0.1227168568
136	0.1221391001
137	0.1215627022
138	0.1209896206
139	0.1204235986
140	0.1198557382
141	0.1192898908
142	0.1187258908
143	0.1181664886
144	0.1176145835
145	0.1170598004
146	0.1165088752
147	0.1159613124
148	0.1154155947
149	0.114875106
150	0.114334998
151	0.113797601
152	0.1132630315
153	0.1127284649
154	0.1122009718
155	0.1116733221
156	0.111148572
157	0.1106271244
158	0.1101077036
159	0.1095908568
160	0.1090744832
161	0.1085650062
162	0.1080558668
163	0.1075509029
164	0.107048323
165	0.1065463492
166	0.106046444
167	0.1055508615
168	0.1050579782
169	0.1045652207
170	0.1040719365
171	0.1035838271
172	0.1030966031
173	0.1026118549
174	0.1021302846
175	0.1016492191
176	0.1011739045
177	0.1007036254
178	0.1002337078
179	0.09976290619
180	0.0992958092
181	0.09883422277
182	0.09837309139
183	0.09791307716
184	0.09745577206
185	0.09699877661
186	0.09654544737
187	0.09609489686
188	0.09564687294
189	0.09520312277
190	0.09476084287
191	0.0943188283
192	0.09387652333
193	0.09343644547
194	0.09299927334
195	0.09256567639
196	0.09213404734
197	0.09170359247
198	0.09127725826
199	0.09085086346
200	0.0904281416
201	0.09000665594
202	0.08958696537
203	0.08917068879
204	0.08875352281
205	0.08833945662
206	0.08792746194
207	0.08751845131
208	0.08711102655
209	0.08670929728
210	0.08630709452
211	0.08590658914
212	0.08550731463
213	0.08510932688
214	0.08471562944
215	0.08432140366
216	0.08393012592
217	0.08353791858
218	0.08315188791
219	0.08276750664
220	0.08238460641
221	0.08200247214
222	0.08161998809
223	0.08124181993
224	0.08086713864
225	0.08049446782
226	0.08012158997
227	0.07974676575
228	0.07937925741
229	0.07901083174
230	0.07864513895
231	0.07828063454
232	0.07791448459
233	0.07755151227
234	0.07719354182
235	0.07683395831
236	0.07647884808
237	0.07612678155
238	0.07577310821
239	0.07542298207
240	0.07507456228
241	0.07472866132
242	0.07438380448
243	0.0740398355
244	0.07369952765
245	0.07336329464
246	0.07302666138
247	0.0726914222
248	0.07235663847
249	0.07202267014
250	0.07169182128
251	0.07135870093
252	0.07103234581
253	0.07070607564
254	0.0703839573
255	0.07006178772
256	0.06974101388
257	0.06942052215
258	0.06910096818
259	0.06878328693
260	0.06846379571
261	0.06815064524
262	0.06783769454
263	0.06752525944
264	0.06721389227
265	0.0669023958
266	0.066597261
267	0.06629261215
268	0.06598792998
269	0.06568592468
270	0.06538425377
271	0.06508654299
272	0.06478806848
273	0.06449134597
