iter	Passed	Remaining
0	7	28024
1	10	20609
2	13	18205
3	16	16571
4	18	15130
5	21	14620
6	24	13963
7	29	14529
8	31	14079
9	37	14776
10	40	14789
11	43	14490
12	46	14396
13	49	14116
14	53	14133
15	55	13936
16	58	13783
17	61	13632
18	64	13616
19	68	13559
20	71	13496
21	74	13402
22	76	13312
23	79	13227
24	83	13271
25	86	13204
26	89	13123
27	92	13054
28	95	13025
29	98	13071
30	101	13021
31	105	13028
32	107	12977
33	111	13020
34	114	12985
35	118	13025
36	121	12986
37	124	13014
38	129	13119
39	134	13304
40	137	13261
41	140	13249
42	144	13253
43	147	13270
44	150	13236
45	153	13204
46	156	13168
47	159	13164
48	162	13132
49	166	13123
50	169	13097
51	172	13070
52	175	13039
53	178	13009
54	181	12983
55	183	12956
56	186	12931
57	190	12917
58	193	12937
59	196	12917
60	199	12908
61	203	12913
62	207	12959
63	210	12947
64	213	12931
65	217	12956
66	223	13097
67	229	13270
68	235	13420
69	239	13446
70	243	13455
71	247	13484
72	250	13466
73	254	13487
74	257	13463
75	261	13486
76	264	13498
77	268	13487
78	272	13521
79	278	13648
80	283	13715
81	288	13791
82	292	13793
83	296	13815
84	300	13858
85	304	13867
86	308	13873
87	312	13879
88	315	13852
89	318	13835
90	322	13866
91	327	13904
92	332	13966
93	337	14019
94	340	14010
95	345	14033
96	349	14056
97	354	14123
98	362	14276
99	367	14339
100	373	14416
101	388	14834
102	392	14837
103	395	14821
104	403	14963
105	410	15062
106	416	15145
107	423	15257
108	427	15274
109	435	15406
110	440	15442
111	446	15512
112	452	15548
113	455	15537
114	460	15561
115	466	15619
116	470	15609
117	477	15703
118	481	15717
119	488	15795
120	494	15847
121	499	15875
122	503	15861
123	508	15889
124	514	15947
125	519	15976
126	525	16026
127	528	15999
128	531	15963
129	535	15950
130	540	15960
131	544	15969
132	548	15949
133	552	15951
134	560	16050
135	567	16130
136	573	16156
137	578	16181
138	582	16189
139	586	16158
140	591	16185
141	595	16184
142	600	16188
143	603	16161
144	610	16240
145	616	16271
146	621	16278
147	625	16283
148	630	16299
149	638	16379
150	643	16398
151	647	16398
152	651	16387
153	660	16493
154	665	16510
155	671	16557
156	676	16567
157	683	16608
158	688	16622
159	692	16621
160	696	16609
161	706	16731
162	710	16735
163	716	16770
164	723	16809
165	728	16836
166	732	16822
167	736	16791
168	739	16756
169	742	16727
170	745	16691
171	749	16671
172	752	16636
173	754	16599
174	758	16582
175	761	16554
176	765	16524
177	768	16491
